ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-04,2026-02-04 14:27:22,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-04T09:00Z,112 cm,84%,1.4 mm,,6.6 MJ/m2,,3.1 °C 13:19 TU,-3.4 °C 0:26 TU,-1.5 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-02-04,2026-02-04 14:27:25,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-02-04T09:00Z,182 cm,93%,4.8 mm,,9.5 MJ/m2,49.0 km/h - 236º 4:18 TU,-1.0 °C 13:35 TU,-6.5 °C 4:04 TU,-5.5 °C
DN,Anglès,ANGLES_DN,2026-02-04,2026-02-04 14:27:27,https://www.meteo.cat/observacions/xema/dades?codi=DN&dia=2026-02-04T09:00Z,,89%,0.0 mm,994.2 hPa,5.3 MJ/m2,27.4 km/h - 252º 12:28 TU,13.3 °C 13:58 TU,-0.6 °C 4:25 TU,4.2 °C
DJ,Banyoles,BANYOLES_DJ,2026-02-04,2026-02-04 14:27:30,https://www.meteo.cat/observacions/xema/dades?codi=DJ&dia=2026-02-04T09:00Z,,72%,0.0 mm,993.6 hPa,6.7 MJ/m2,30.6 km/h - 220º 13:16 TU,13.5 °C 13:23 TU,3.9 °C 6:17 TU,7.3 °C
X4,Barcelona - el Raval,BARCELONA___EL_RAVAL_X4,2026-02-04,2026-02-04 14:27:32,https://www.meteo.cat/observacions/xema/dades?codi=X4&dia=2026-02-04T09:00Z,,70%,0.0 mm,994.4 hPa,3.3 MJ/m2,20.9 km/h - 271º 13:37 TU,12.7 °C 13:48 TU,9.0 °C 3:53 TU,10.4 °C
D5,Barcelona - Observatori Fabra,BARCELONA___OBSERVATORI_FABRA_D5,2026-02-04,2026-02-04 14:27:35,https://www.meteo.cat/observacions/xema/dades?codi=D5&dia=2026-02-04T09:00Z,,87%,0.0 mm,994.4 hPa,3.6 MJ/m2,41.4 km/h - 223º 7:54 TU,9.6 °C 13:59 TU,7.0 °C 8:00 TU,7.7 °C
UN,Cassà de la Selva,CASSA_DE_LA_SELVA_UN,2026-02-04,2026-02-04 14:27:37,https://www.meteo.cat/observacions/xema/dades?codi=UN&dia=2026-02-04T09:00Z,,89%,2.0 mm,,6.3 MJ/m2,32.0 km/h - 179º 12:38 TU,12.7 °C 13:05 TU,2.1 °C 1:39 TU,7.0 °C
MS,Castellar de N'hug - el Clot del Moro,CASTELLAR_DE_NHUG___EL_CLOT_DEL_MORO_MS,2026-02-04,2026-02-04 14:27:40,https://www.meteo.cat/observacions/xema/dades?codi=MS&dia=2026-02-04T09:00Z,,92%,0.2 mm,,,,10.0 °C 13:35 TU,-2.2 °C 4:10 TU,0.9 °C
W1,Castelló D'empúries,CASTELLO_DEMPURIES_W1,2026-02-04,2026-02-04 14:27:42,https://www.meteo.cat/observacions/xema/dades?codi=W1&dia=2026-02-04T09:00Z,,91%,0.0 mm,,,,14.0 °C 13:26 TU,3.3 °C 2:22 TU,7.1 °C
DP,Das - Aeròdrom,DAS___AERODROM_DP,2026-02-04,2026-02-04 14:27:44,https://www.meteo.cat/observacions/xema/dades?codi=DP&dia=2026-02-04T09:00Z,1 cm,88%,0.0 mm,996.3 hPa,8.2 MJ/m2,28.8 km/h - 263º 13:52 TU,8.1 °C 13:37 TU,-4.9 °C 4:26 TU,-0.7 °C
