ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
WB,Albesa,ALBESA_WB,2026-02-07,2026-02-07 17:57:17,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-07T09:00Z,,78%,0.1 mm,,12.0 MJ/m2,24.8 km/h - 289º 12:10 TU,13.7 °C 13:44 TU,1.9 °C 7:00 TU,7.6 °C
XY,Alcarràs,ALCARRAS_XY,2026-02-07,2026-02-07 17:57:20,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-07T09:00Z,,79%,0.1 mm,,,19.8 km/h - 291º 11:35 TU,15.0 °C 13:40 TU,1.4 °C 7:36 TU,8.2 °C
U7,Aldover,ALDOVER_U7,2026-02-07,2026-02-07 17:57:22,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-07T09:00Z,,47%,0.0 mm,,11.8 MJ/m2,27.0 km/h - 297º 0:59 TU,18.2 °C 13:42 TU,9.7 °C 2:16 TU,13.6 °C
WK,Alfarràs,ALFARRAS_WK,2026-02-07,2026-02-07 17:57:24,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-07T09:00Z,,81%,0.0 mm,,,26.6 km/h - 276º 11:32 TU,13.1 °C 13:55 TU,1.6 °C 7:01 TU,7.4 °C
WG,Algerri,ALGERRI_WG,2026-02-07,2026-02-07 17:57:27,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-07T09:00Z,,78%,0.0 mm,,12.6 MJ/m2,28.8 km/h - 252º 12:05 TU,12.7 °C 14:16 TU,2.9 °C 6:19 TU,7.5 °C
X3,Alguaire,ALGUAIRE_X3,2026-02-07,2026-02-07 17:57:29,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-07T09:00Z,,82%,0.2 mm,1007.3 hPa,12.0 MJ/m2,49.3 km/h - 271º 11:19 TU,12.0 °C 14:12 TU,1.9 °C 7:18 TU,6.5 °C
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-07,2026-02-07 17:57:32,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-07T09:00Z,sense dades,94%,2.1 mm,,3.5 MJ/m2,16.9 km/h - 189º 16:55 TU,-2.7 °C 10:37 TU,-7.3 °C 7:15 TU,-5.7 °C
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-07,2026-02-07 17:57:34,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-07T09:00Z,105 cm,81%,0.0 mm,,8.6 MJ/m2,,3.7 °C 14:22 TU,-3.4 °C 5:29 TU,-0.6 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-02-07,2026-02-07 17:57:36,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-02-07T09:00Z,172 cm,84%,0.0 mm,,14.3 MJ/m2,33.5 km/h - 116º 17:27 TU,0.3 °C 12:55 TU,-7.9 °C 8:13 TU,-4.9 °C
UU,Amposta,AMPOSTA_UU,2026-02-07,2026-02-07 17:57:39,https://www.meteo.cat/observacions/xema/dades?codi=UU&dia=2026-02-07T09:00Z,,57%,0.0 mm,1007.3 hPa,11.6 MJ/m2,35.3 km/h - 175º 13:42 TU,17.0 °C 11:49 TU,8.7 °C 1:43 TU,13.0 °C
XX,Anglesola - Tornabous,ANGLESOLA___TORNABOUS_XX,2026-02-07,2026-02-07 17:57:41,https://www.meteo.cat/observacions/xema/dades?codi=XX&dia=2026-02-07T09:00Z,,82%,0.1 mm,,,36.4 km/h - 265º 10:57 TU,12.8 °C 14:22 TU,1.4 °C 7:45 TU,7.4 °C
DN,Anglès,ANGLES_DN,2026-02-07,2026-02-07 17:57:44,https://www.meteo.cat/observacions/xema/dades?codi=DN&dia=2026-02-07T09:00Z,,55%,0.0 mm,1003.6 hPa,10.5 MJ/m2,41.4 km/h - 313º 3:40 TU,15.4 °C 15:24 TU,9.3 °C 6:59 TU,12.1 °C
Z6,Arres - Sasseuva (2.228 m),ARRES___SASSEUVA_2228_M_Z6,2026-02-07,2026-02-07 17:57:46,https://www.meteo.cat/observacions/xema/dades?codi=Z6&dia=2026-02-07T09:00Z,117 cm,72%,0.8 mm,,11.5 MJ/m2,24.5 km/h - 114º 16:58 TU,0.5 °C 12:50 TU,-5.5 °C 7:21 TU,-3.4 °C
