ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
WB,Albesa,ALBESA_WB,2026-01-22,2026-01-22 06:42:18,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-01-22T09:00Z,,94%,0.2 mm,,0.0 MJ/m2,10.4 km/h - 70º 0:25 TU,8.0 °C 0:28 TU,6.6 °C 5:29 TU,7.5 °C
XY,Alcarràs,ALCARRAS_XY,2026-01-22,2026-01-22 06:42:21,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-01-22T09:00Z,,100%,0.0 mm,,,9.7 km/h - 44º 0:28 TU,8.3 °C 0:07 TU,6.8 °C 5:29 TU,7.6 °C
U7,Aldover,ALDOVER_U7,2026-01-22,2026-01-22 06:42:24,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-01-22T09:00Z,,79%,2.2 mm,,0.0 MJ/m2,36.4 km/h - 281º 4:19 TU,12.2 °C 4:25 TU,8.2 °C 0:05 TU,10.1 °C
WK,Alfarràs,ALFARRAS_WK,2026-01-22,2026-01-22 06:42:27,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-01-22T09:00Z,,99%,0.6 mm,,,12.2 km/h - 271º 5:29 TU,8.6 °C 0:19 TU,6.5 °C 5:24 TU,7.5 °C
WG,Algerri,ALGERRI_WG,2026-01-22,2026-01-22 06:42:29,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-01-22T09:00Z,,97%,0.6 mm,,0.0 MJ/m2,18.4 km/h - 49º 0:16 TU,8.7 °C 0:57 TU,6.3 °C 5:29 TU,7.8 °C
X3,Alguaire,ALGUAIRE_X3,2026-01-22,2026-01-22 06:42:32,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-01-22T09:00Z,,100%,0.0 mm,995.9 hPa,0.0 MJ/m2,28.4 km/h - 280º 4:45 TU,7.4 °C 1:25 TU,5.2 °C 5:18 TU,6.6 °C
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-01-22,2026-01-22 06:42:35,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-01-22T09:00Z,sense dades,sense dades,sense dades,,sense dades,sense dades sense dades,sense dades sense dades,sense dades sense dades,sense dades
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-01-22,2026-01-22 06:42:37,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-01-22T09:00Z,190 cm,98%,2.1 mm,,0.0 MJ/m2,,-0.9 °C 4:35 TU,-1.5 °C 2:42 TU,-1.2 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-01-22,2026-01-22 06:42:40,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-01-22T09:00Z,148 cm,95%,1.3 mm,,0.0 MJ/m2,29.2 km/h - 78º 0:46 TU,-2.1 °C 0:16 TU,-5.0 °C 5:21 TU,-4.0 °C
UU,Amposta,AMPOSTA_UU,2026-01-22,2026-01-22 06:42:42,https://www.meteo.cat/observacions/xema/dades?codi=UU&dia=2026-01-22T09:00Z,,83%,2.0 mm,995.5 hPa,0.0 MJ/m2,50.8 km/h - 302º 5:27 TU,12.2 °C 4:58 TU,8.4 °C 3:22 TU,10.1 °C
XX,Anglesola - Tornabous,ANGLESOLA___TORNABOUS_XX,2026-01-22,2026-01-22 06:42:45,https://www.meteo.cat/observacions/xema/dades?codi=XX&dia=2026-01-22T09:00Z,,99%,0.7 mm,,,14.8 km/h - 236º 5:26 TU,7.9 °C 0:24 TU,7.2 °C 5:29 TU,7.5 °C
DN,Anglès,ANGLES_DN,2026-01-22,2026-01-22 06:42:48,https://www.meteo.cat/observacions/xema/dades?codi=DN&dia=2026-01-22T09:00Z,,77%,0.0 mm,993.7 hPa,-0.1 MJ/m2,28.1 km/h - 245º 0:16 TU,12.4 °C 0:55 TU,7.6 °C 3:51 TU,10.1 °C
