ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-07-29,2026-07-29 08:18:54,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-07-29T09:00Z,5 cm,61%,0.0 mm,,2.3 MJ/m2,,22.2 °C 7:59 TU,13.7 °C 4:47 TU,15.8 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-07-29,2026-07-29 08:18:57,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-07-29T09:00Z,0 cm,48%,0.0 mm,,2.3 MJ/m2,19.4 km/h - 104º 1:05 TU,18.8 °C 7:59 TU,15.0 °C 2:33 TU,16.5 °C
DN,Anglès,ANGLES_DN,2026-07-29,2026-07-29 08:19:00,https://www.meteo.cat/observacions/xema/dades?codi=DN&dia=2026-07-29T09:00Z,,92%,0.0 mm,1018.9 hPa,2.3 MJ/m2,5.4 km/h - 132º 7:57 TU,28.2 °C 7:59 TU,19.1 °C 4:56 TU,21.4 °C
Z6,Arres - Sasseuva (2.228 m),ARRES___SASSEUVA_2228_M_Z6,2026-07-29,2026-07-29 08:19:02,https://www.meteo.cat/observacions/xema/dades?codi=Z6&dia=2026-07-29T09:00Z,5 cm,37%,0.0 mm,,2.4 MJ/m2,14.8 km/h - 100º 7:51 TU,19.9 °C 7:59 TU,17.0 °C 5:37 TU,18.0 °C
DJ,Banyoles,BANYOLES_DJ,2026-07-29,2026-07-29 08:19:05,https://www.meteo.cat/observacions/xema/dades?codi=DJ&dia=2026-07-29T09:00Z,,83%,0.0 mm,1019.0 hPa,2.5 MJ/m2,10.1 km/h - 348º 4:55 TU,26.5 °C 7:48 TU,22.3 °C 5:05 TU,23.6 °C
X4,Barcelona - el Raval,BARCELONA___EL_RAVAL_X4,2026-07-29,2026-07-29 08:19:08,https://www.meteo.cat/observacions/xema/dades?codi=X4&dia=2026-07-29T09:00Z,,72%,0.0 mm,1018.9 hPa,2.6 MJ/m2,15.5 km/h - 215º 7:53 TU,29.0 °C 7:59 TU,25.8 °C 5:02 TU,26.5 °C
D5,Barcelona - Observatori Fabra,BARCELONA___OBSERVATORI_FABRA_D5,2026-07-29,2026-07-29 08:19:10,https://www.meteo.cat/observacions/xema/dades?codi=D5&dia=2026-07-29T09:00Z,,74%,0.0 mm,1018.8 hPa,2.7 MJ/m2,31.0 km/h - 274º 2:43 TU,26.3 °C 7:59 TU,22.9 °C 0:33 TU,23.6 °C
YS,Cabanes,CABANES_YS,2026-07-29,2026-07-29 08:19:12,https://www.meteo.cat/observacions/xema/dades?codi=YS&dia=2026-07-29T09:00Z,,89%,0.0 mm,,2.4 MJ/m2,5.8 km/h - 65º 7:54 TU,28.3 °C 7:59 TU,21.1 °C 4:41 TU,22.9 °C
UN,Cassà de la Selva,CASSA_DE_LA_SELVA_UN,2026-07-29,2026-07-29 08:19:15,https://www.meteo.cat/observacions/xema/dades?codi=UN&dia=2026-07-29T09:00Z,,89%,0.0 mm,,2.2 MJ/m2,10.8 km/h - 100º 7:18 TU,28.1 °C 7:56 TU,18.8 °C 4:54 TU,21.2 °C
MS,Castellar de N'hug - el Clot del Moro,CASTELLAR_DE_NHUG___EL_CLOT_DEL_MORO_MS,2026-07-29,2026-07-29 08:19:16,https://www.meteo.cat/observacions/xema/dades?codi=MS&dia=2026-07-29T09:00Z,,76%,0.0 mm,,,,25.2 °C 7:59 TU,15.0 °C 5:00 TU,17.8 °C
W1,Castelló D'empúries,CASTELLO_DEMPURIES_W1,2026-07-29,2026-07-29 08:19:17,https://www.meteo.cat/observacions/xema/dades?codi=W1&dia=2026-07-29T09:00Z,,97%,0.0 mm,,,,27.7 °C 7:56 TU,21.8 °C 4:30 TU,23.7 °C
DP,Das - Aeròdrom,DAS___AERODROM_DP,2026-07-29,2026-07-29 08:19:18,https://www.meteo.cat/observacions/xema/dades?codi=DP&dia=2026-07-29T09:00Z,2 cm,82%,0.0 mm,1022.9 hPa,2.4 MJ/m2,7.9 km/h - 115º 0:26 TU,22.2 °C 7:54 TU,11.2 °C 4:59 TU,14.7 °C
XL,El Prat de Llobregat - el Prat de Llobregat,EL_PRAT_DE_LLOBREGAT___EL_PRAT_DE_LLOBREGAT_XL,2026-07-29,2026-07-29 08:19:19,https://www.meteo.cat/observacions/xema/dades?codi=XL&dia=2026-07-29T09:00Z,,87%,0.0 mm,,2.4 MJ/m2,14.4 km/h - 303º 6:17 TU,29.2 °C 7:57 TU,20.2 °C 2:07 TU,22.8 °C
VZ,Espolla,ESPOLLA_VZ,2026-07-29,2026-07-29 08:19:21,https://www.meteo.cat/observacions/xema/dades?codi=VZ&dia=2026-07-29T09:00Z,,88%,0.0 mm,,,,27.9 °C 7:48 TU,20.4 °C 3:56 TU,22.6 °C
Z7,Espot (2.519 m),ESPOT_2519_M_Z7,2026-07-29,2026-07-29 08:19:22,https://www.meteo.cat/observacions/xema/dades?codi=Z7&dia=2026-07-29T09:00Z,0 cm,41%,0.0 mm,,2.7 MJ/m2,15.1 km/h - 54º 7:34 TU,18.0 °C 6:52 TU,14.8 °C 2:03 TU,15.9 °C
XK,Fogars de Montclús - Puig Sesolles (1.668 m),FOGARS_DE_MONTCLUS___PUIG_SESOLLES_1668_M_XK,2026-07-29,2026-07-29 08:19:23,https://www.meteo.cat/observacions/xema/dades?codi=XK&dia=2026-07-29T09:00Z,0 cm,52%,0.0 mm,,2.9 MJ/m2,23.8 km/h - 283º 7:14 TU,22.1 °C 7:59 TU,19.2 °C 5:01 TU,20.3 °C
XJ,Girona,GIRONA_XJ,2026-07-29,2026-07-29 08:19:24,https://www.meteo.cat/observacions/xema/dades?codi=XJ&dia=2026-07-29T09:00Z,,93%,0.0 mm,1019.0 hPa,2.5 MJ/m2,7.2 km/h - 167º 7:58 TU,28.0 °C 7:59 TU,19.7 °C 5:00 TU,22.1 °C
YU,L'esquirol - Cantonigròs,LESQUIROL___CANTONIGROS_YU,2026-07-29,2026-07-29 08:19:25,https://www.meteo.cat/observacions/xema/dades?codi=YU&dia=2026-07-29T09:00Z,,71%,0.0 mm,,2.5 MJ/m2,6.5 km/h - 21º 6:04 TU,27.2 °C 7:53 TU,19.7 °C 4:06 TU,22.0 °C
ZE,La Coma i la Pedra - el Port del Comte (2.290 m),LA_COMA_I_LA_PEDRA___EL_PORT_DEL_COMTE_2290_M_ZE,2026-07-29,2026-07-29 08:19:26,https://www.meteo.cat/observacions/xema/dades?codi=ZE&dia=2026-07-29T09:00Z,0 cm,54%,0.0 mm,,2.7 MJ/m2,13.0 km/h - 259º 4:35 TU,19.6 °C 7:25 TU,11.7 °C 4:20 TU,14.4 °C
CD,La Seu D'urgell - la Seu D'urgell - Bellestar,LA_SEU_DURGELL___LA_SEU_DURGELL___BELLESTAR_CD,2026-07-29,2026-07-29 08:19:29,https://www.meteo.cat/observacions/xema/dades?codi=CD&dia=2026-07-29T09:00Z,,61%,0.0 mm,1020.5 hPa,2.4 MJ/m2,6.5 km/h - 220º 7:40 TU,24.7 °C 7:59 TU,17.5 °C 4:50 TU,20.1 °C
Z2,La Vall de Boí - Boí (2.535 m),LA_VALL_DE_BOI___BOI_2535_M_Z2,2026-07-29,2026-07-29 08:19:32,https://www.meteo.cat/observacions/xema/dades?codi=Z2&dia=2026-07-29T09:00Z,2 cm,49%,0.0 mm,,2.3 MJ/m2,13.0 km/h - 323º 3:35 TU,18.6 °C 7:44 TU,13.8 °C 4:53 TU,14.8 °C
Z5,Lladorre - Certascan (2.400 m),LLADORRE___CERTASCAN_2400_M_Z5,2026-07-29,2026-07-29 08:19:34,https://www.meteo.cat/observacions/xema/dades?codi=Z5&dia=2026-07-29T09:00Z,0 cm,47%,0.0 mm,,2.0 MJ/m2,7.2 km/h - 37º 2:28 TU,19.0 °C 6:59 TU,13.9 °C 1:37 TU,15.8 °C
VK,Lleida - Raimat,LLEIDA___RAIMAT_VK,2026-07-29,2026-07-29 08:19:37,https://www.meteo.cat/observacions/xema/dades?codi=VK&dia=2026-07-29T09:00Z,,60%,0.0 mm,1018.5 hPa,2.2 MJ/m2,19.8 km/h - 118º 2:38 TU,27.9 °C 7:59 TU,19.9 °C 4:18 TU,23.2 °C
Z3,Meranges - Malniu (2.230 m),MERANGES___MALNIU_2230_M_Z3,2026-07-29,2026-07-29 08:19:40,https://www.meteo.cat/observacions/xema/dades?codi=Z3&dia=2026-07-29T09:00Z,0 cm,45%,0.0 mm,,2.8 MJ/m2,13.0 km/h - 344º 5:15 TU,21.2 °C 7:36 TU,13.8 °C 0:16 TU,16.3 °C
CG,Molló - Fabert,MOLLO___FABERT_CG,2026-07-29,2026-07-29 08:19:42,https://www.meteo.cat/observacions/xema/dades?codi=CG&dia=2026-07-29T09:00Z,20 cm,39%,0.0 mm,1018.2 hPa,2.8 MJ/m2,12.6 km/h - 10º 5:22 TU,28.3 °C 7:56 TU,18.1 °C 2:35 TU,21.3 °C
Z9,Montellà i Martinet - Cadí Nord (2.143 m) - Prat D'aguiló,MONTELLA_I_MARTINET___CADI_NORD_2143_M___PRAT_DAGU,2026-07-29,2026-07-29 08:19:45,https://www.meteo.cat/observacions/xema/dades?codi=Z9&dia=2026-07-29T09:00Z,1 cm,49%,0.0 mm,,2.6 MJ/m2,11.9 km/h - 208º 4:59 TU,20.3 °C 7:37 TU,15.4 °C 3:10 TU,16.9 °C
YB,Olot,OLOT_YB,2026-07-29,2026-07-29 08:19:48,https://www.meteo.cat/observacions/xema/dades?codi=YB&dia=2026-07-29T09:00Z,,90%,0.0 mm,1019.4 hPa,2.1 MJ/m2,5.4 km/h - 251º 4:43 TU,27.5 °C 7:59 TU,18.6 °C 4:54 TU,20.7 °C
YP,Palafrugell,PALAFRUGELL_YP,2026-07-29,2026-07-29 08:19:50,https://www.meteo.cat/observacions/xema/dades?codi=YP&dia=2026-07-29T09:00Z,,93%,0.0 mm,,2.6 MJ/m2,16.6 km/h - 87º 7:23 TU,27.6 °C 7:53 TU,19.7 °C 3:54 TU,22.5 °C
J5,Pantà de Darnius - Boadella,PANTA_DE_DARNIUS___BOADELLA_J5,2026-07-29,2026-07-29 08:19:53,https://www.meteo.cat/observacions/xema/dades?codi=J5&dia=2026-07-29T09:00Z,,92%,0.0 mm,1019.0 hPa,2.6 MJ/m2,8.6 km/h - 12º 4:07 TU,27.1 °C 7:56 TU,21.4 °C 4:53 TU,23.0 °C
D6,Portbou - Coll dels Belitres,PORTBOU___COLL_DELS_BELITRES_D6,2026-07-29,2026-07-29 08:19:55,https://www.meteo.cat/observacions/xema/dades?codi=D6&dia=2026-07-29T09:00Z,,87%,0.0 mm,1018.6 hPa,2.5 MJ/m2,28.4 km/h - 346º 5:18 TU,27.2 °C 7:53 TU,22.6 °C 4:31 TU,23.7 °C
XR,Prades,PRADES_XR,2026-07-29,2026-07-29 08:19:58,https://www.meteo.cat/observacions/xema/dades?codi=XR&dia=2026-07-29T09:00Z,10 cm,50%,0.0 mm,,2.3 MJ/m2,9.7 km/h - 89º 7:42 TU,28.6 °C 7:59 TU,16.6 °C 4:52 TU,19.9 °C
YA,Puigcerdà,PUIGCERDA_YA,2026-07-29,2026-07-29 08:20:01,https://www.meteo.cat/observacions/xema/dades?codi=YA&dia=2026-07-29T09:00Z,,62%,0.0 mm,1021.4 hPa,2.6 MJ/m2,9.7 km/h - 47º 0:04 TU,22.2 °C 7:44 TU,14.7 °C 4:57 TU,17.3 °C
DG,Queralbs - Núria (1.971 m),QUERALBS___NURIA_1971_M_DG,2026-07-29,2026-07-29 08:20:03,https://www.meteo.cat/observacions/xema/dades?codi=DG&dia=2026-07-29T09:00Z,0 cm,63%,0.0 mm,,1.9 MJ/m2,7.6 km/h - 44º 4:29 TU,21.5 °C 7:49 TU,10.9 °C 3:01 TU,13.5 °C
X5,Roquetes - Pn dels Ports,ROQUETES___PN_DELS_PORTS_X5,2026-07-29,2026-07-29 08:20:06,https://www.meteo.cat/observacions/xema/dades?codi=X5&dia=2026-07-29T09:00Z,0 cm,29%,0.0 mm,1018.0 hPa,2.3 MJ/m2,24.1 km/h - 174º 0:26 TU,28.4 °C 7:54 TU,21.7 °C 3:45 TU,23.7 °C
D4,Roses,ROSES_D4,2026-07-29,2026-07-29 08:20:09,https://www.meteo.cat/observacions/xema/dades?codi=D4&dia=2026-07-29T09:00Z,,93%,0.0 mm,1018.9 hPa,2.5 MJ/m2,10.8 km/h - 183º 7:48 TU,28.6 °C 7:42 TU,22.2 °C 3:10 TU,24.3 °C
CI,Sant Pau de Segúries,SANT_PAU_DE_SEGURIES_CI,2026-07-29,2026-07-29 08:20:11,https://www.meteo.cat/observacions/xema/dades?codi=CI&dia=2026-07-29T09:00Z,,94%,0.0 mm,1022.0 hPa,,11.5 km/h - 247º 7:56 TU,22.8 °C 7:59 TU,14.3 °C 5:02 TU,16.5 °C
XS,Santa Coloma de Farners,SANTA_COLOMA_DE_FARNERS_XS,2026-07-29,2026-07-29 08:20:14,https://www.meteo.cat/observacions/xema/dades?codi=XS&dia=2026-07-29T09:00Z,,85%,0.0 mm,,2.6 MJ/m2,8.6 km/h - 302º 3:47 TU,27.5 °C 7:59 TU,21.1 °C 4:41 TU,22.7 °C
ZC,Setcases - Ulldeter (2.413 m),SETCASES___ULLDETER_2413_M_ZC,2026-07-29,2026-07-29 08:20:17,https://www.meteo.cat/observacions/xema/dades?codi=ZC&dia=2026-07-29T09:00Z,0 cm,43%,0.0 mm,,3.3 MJ/m2,24.1 km/h - 8º 3:15 TU,18.6 °C 7:24 TU,14.3 °C 0:17 TU,16.3 °C
XH,Sort,SORT_XH,2026-07-29,2026-07-29 08:20:19,https://www.meteo.cat/observacions/xema/dades?codi=XH&dia=2026-07-29T09:00Z,1 cm,78%,0.0 mm,1021.5 hPa,,,26.2 °C 7:59 TU,14.4 °C 4:51 TU,17.0 °C
XE,Tarragona - Complex Educatiu,TARRAGONA___COMPLEX_EDUCATIU_XE,2026-07-29,2026-07-29 08:20:22,https://www.meteo.cat/observacions/xema/dades?codi=XE&dia=2026-07-29T09:00Z,,82%,0.0 mm,1019.1 hPa,2.3 MJ/m2,11.2 km/h - 145º 7:33 TU,28.7 °C 7:59 TU,23.4 °C 4:06 TU,25.0 °C
UE,Torroella de Montgrí,TORROELLA_DE_MONTGRI_UE,2026-07-29,2026-07-29 08:20:24,https://www.meteo.cat/observacions/xema/dades?codi=UE&dia=2026-07-29T09:00Z,,97%,0.0 mm,,,,27.8 °C 7:54 TU,21.2 °C 3:39 TU,22.8 °C
XO,Vic,VIC_XO,2026-07-29,2026-07-29 08:20:27,https://www.meteo.cat/observacions/xema/dades?codi=XO&dia=2026-07-29T09:00Z,,70%,0.0 mm,,2.3 MJ/m2,7.6 km/h - 13º 7:36 TU,25.8 °C 7:59 TU,18.4 °C 5:00 TU,20.7 °C
VS,Vielha e Mijaran - Lac Redon (2.247 m),VIELHA_E_MIJARAN___LAC_REDON_2247_M_VS,2026-07-29,2026-07-29 08:20:29,https://www.meteo.cat/observacions/xema/dades?codi=VS&dia=2026-07-29T09:00Z,0 cm,59%,0.0 mm,,2.2 MJ/m2,11.2 km/h - 174º 7:33 TU,18.7 °C 7:59 TU,14.1 °C 4:53 TU,15.2 °C
